date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200101,16,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,16,AQI,58.0,59.0,61.0,63.0,58.0,52.0,64.0,60.0,,57.0,53.0,60.0,58.0,57.0,47.0,45.0,36.0,65.0,61.0,60.0,40.0,21.0,83.0,57.0,83.0,23.0,48.0,61.0,79.0,54.0,60.0,65.0,53.0,59.0,56.0
20200101,17,PM2.5,42.0,45.0,38.0,39.0,35.0,35.0,41.0,43.0,,40.0,31.0,43.0,36.0,46.0,37.0,30.0,23.0,41.0,40.0,46.0,23.0,14.0,56.0,39.0,61.0,15.0,33.0,47.0,45.0,43.0,44.0,40.0,46.0,37.0,29.0
20200101,17,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,17,PM10,50.0,66.0,68.0,59.0,57.0,54.0,70.0,72.0,,62.0,62.0,64.0,67.0,77.0,54.0,52.0,26.0,61.0,66.0,73.0,39.0,27.0,81.0,62.0,83.0,18.0,63.0,83.0,81.0,75.0,47.0,50.0,56.0,66.0,65.0
20200101,17,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,17,AQI,59.0,63.0,59.0,55.0,54.0,52.0,60.0,61.0,,56.0,56.0,60.0,59.0,64.0,53.0,51.0,33.0,58.0,58.0,64.0,39.0,27.0,76.0,56.0,83.0,21.0,57.0,67.0,66.0,63.0,61.0,56.0,64.0,58.0,58.0
20200101,18,PM2.5,41.0,42.0,37.0,41.0,31.0,37.0,45.0,50.0,,45.0,33.0,49.0,43.0,41.0,43.0,30.0,26.0,40.0,44.0,52.0,27.0,18.0,54.0,39.0,67.0,23.0,35.0,61.0,48.0,53.0,39.0,44.0,44.0,36.0,33.0
20200101,18,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,18,PM10,61.0,63.0,65.0,66.0,67.0,62.0,83.0,97.0,,78.0,82.0,85.0,98.0,85.0,66.0,67.0,38.0,74.0,84.0,98.0,54.0,40.0,75.0,64.0,96.0,,75.0,84.0,88.0,105.0,52.0,62.0,56.0,78.0,79.0
20200101,18,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,18,AQI,58.0,59.0,58.0,58.0,59.0,56.0,67.0,74.0,,64.0,66.0,68.0,74.0,68.0,60.0,59.0,38.0,62.0,67.0,74.0,52.0,40.0,74.0,57.0,90.0,33.0,63.0,83.0,69.0,78.0,55.0,61.0,61.0,64.0,65.0
